"","Title","Type","Organism","Assays","Release.Date","Processed.Data","Raw.Data","Present.in.Atlas","ArrayExpress.URL"
"E-MTAB-5570","SNP array profiling of 24 Pancreatic Ductal Adenocarcinoma samples","genotyping by array","Homo sapiens",24,"2017-12-12","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5570/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5570/"
"E-MTAB-5006","SNP profiling of pancreatic adenocarcinoma (PDAC) xenografts","genotyping by array","Homo sapiens",30,"2017-12-12","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5006/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5006/"
"E-MTAB-5903","SNP arrays to confirm X-linkage in a family with idiopathic intellectual disability","genotyping by array","Homo sapiens",16,"2017-12-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5903/E-MTAB-5903.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5903/"
"E-MTAB-4815","Genome-wide analysis of somatic copy number alterations and chromosomal breakages in osteosarcoma","genotyping by array","Homo sapiens",160,"2017-06-02","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4815/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4815/"
"E-MTAB-5680","SNP array in severe early-onset obesity","genotyping by array","Homo sapiens",157,"2017-04-28","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5680/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5680/"
"E-MTAB-5587","Digital Karyotyping for Detecting Chromosome Alterations","genotyping by array","Homo sapiens",12,"2017-04-03","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5587/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5587/E-MTAB-5587.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5587/"
"E-MTAB-5450","Deletion of ribosomal protein genes is a common vulnerability in human cancer, particularly in concert with TP53 mutation","genotyping by array","Homo sapiens",93,"2017-02-28","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5450/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5450/"
"E-MTAB-5232","Identification of a tumor suppressor network in T-cell leukemia","genotyping by array","Homo sapiens",8,"2017-02-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5232/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5232/"
"E-MTAB-5036","Genotyping by array of 73 acute lymphoblastic leukemia samples and their matched control remission samples to characterise somatic events associated with leukemic transformation","genotyping by array","Homo sapiens",146,"2017-01-31","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5036/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5036/"
"E-MTAB-5265","Coronary artery disease-associated genotype data in Mediterranean populations","genotyping by array","Homo sapiens",1696,"2016-11-24","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5265/E-MTAB-5265.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5265/"
"E-MTAB-4738","Genotyping by array of amniotic fluid sample from a fetus with developmental abnormalities to detect copy number variations","genotyping by array","Homo sapiens",2,"2016-11-16","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4738/E-MTAB-4738.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4738/"
"E-MTAB-1586","Genotyping by array of human primary acute myeloid leukemia cells on the Affymetrix 6.0 SNP array to evaluate prognostic relevance","genotyping by array","Homo sapiens",227,"2016-11-02","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1586/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1586/"
"E-MTAB-4843","Genotyping by array: Human Developmental Biology Resource (HDBR) expression resource of prenatal human brain development-SNP data","genotyping by array","Homo sapiens",425,"2016-10-12","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4843/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4843/"
"E-MTAB-4950","Copy number variation analysis of Kasumi-1 acute myeloid leukemia cells, U2OS osteosarcoma cells and acute myeloid leukemia cells isolated from a patient","genotyping by array","Homo sapiens",3,"2016-10-10","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4950/E-MTAB-4950.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4950/"
"E-MTAB-4590","Genotyping by array of an esophageal adenocarcinoma cell line, tumour tissue, normal tissue and blood derived from the same patient","genotyping by array","Homo sapiens",5,"2016-10-03","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4590/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4590/E-MTAB-4590.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4590/"
"E-MTAB-4760","Clinical and molecular characterization of a de novo 19p13.3 microdeletion","genotyping by array","Homo sapiens",3,"2016-09-29","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4760/E-MTAB-4760.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4760/"
"E-MTAB-5119","Genotyping of SNP array in individuals with San ancestry in southeastern Africa","genotyping by array","Homo sapiens",16,"2016-09-21","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5119/E-MTAB-5119.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5119/"
"E-GEOD-82309","East Eurasian ancestry in the middle of Europe: genetic footprints of Steppe nomads in the genomes of Belarusian Lipka Tatars","genotyping by array, comparative genomic hybridization by array","Homo sapiens",6,"2016-08-15","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-82309/E-GEOD-82309.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-82309/"
"E-GEOD-71522","Affymetrix SNP array data for Ovarian Cancer Samples","genotyping by array, comparative genomic hybridization by array","Homo sapiens",51,"2016-08-11","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71522/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71522/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71522/"
"E-GEOD-70654","Type II Enteropathy-associated T-cell lymphoma","transcription profiling by array, genotyping by array, comparative genomic hybridization by array","Homo sapiens",12,"2016-03-03","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70654/E-GEOD-70654.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70654/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70654/"
"E-GEOD-70653","Affymetrix Genome-Wide Human SNP Array 6.0 data for Type II Enteropathy-associated T-cell lymphoma","genotyping by array, comparative genomic hybridization by array","Homo sapiens",8,"2016-03-03","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70653/E-GEOD-70653.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70653/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70653/"
"E-MTAB-4463","Karyotype analysis of human naive embryonic stem cells","genotyping by array","Homo sapiens",1,"2016-03-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4463/E-MTAB-4463.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4463/"
"E-GEOD-67405","Affymetrix SNP array data for B-lineage acute lymphoblastic leukemia","genotyping by array, comparative genomic hybridization by array","Homo sapiens",25,"2016-03-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67405/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67405/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67405/"
"E-GEOD-67775","Omics profiling of 21 novel primary and metastatic colorectal cancer cell lines","genotyping by array, methylation profiling by array","Homo sapiens",42,"2016-02-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67775/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67775/E-GEOD-67775.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67775/"
"E-GEOD-67774","SNP-array profiling of 21 novel primary and metastatic colorectal cancer cell lines [Illumina HumanExome-12 v1.2 BeadChip]","genotyping by array","Homo sapiens",16,"2016-02-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67774/E-GEOD-67774.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67774/E-GEOD-67774.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67774/"
"E-GEOD-67773","SNP-array profiling of 21 novel primary and metastatic colorectal cancer cell lines [Illumina HumanExome-12 v1.0 BeadChip]","genotyping by array","Homo sapiens",5,"2016-02-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67773/E-GEOD-67773.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67773/E-GEOD-67773.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67773/"
"E-GEOD-77664","Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinsons Disease patients harbouring G2019S mutations in the LRRK2 gene	transcription profiling by array, genotyping by array	Homo sapiens	12	2016-02-09	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77664/E-GEOD-77664.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77664/
E-GEOD-77662	SNP data from induced Pluripotent Stem cells from Parkinsons Disease patients harbouring G2019S mutations in the LRRK2 gene","genotyping by array","Homo sapiens",8,"2016-02-09","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77662/E-GEOD-77662.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77662/"
"E-GEOD-75358","A missense mutation in TFRC, encoding transferrin receptor 1, causes combined immunodeficiency","genotyping by array, comparative genomic hybridization by array","Homo sapiens",36,"2015-11-25","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75358/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75358/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75358/"
"E-GEOD-75349","A missense mutation in TFRC, encoding transferrin receptor 1, causes combined immunodeficiency (Family B)","genotyping by array","Homo sapiens",4,"2015-11-25","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75349/E-GEOD-75349.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75349/E-GEOD-75349.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75349/"
"E-GEOD-75314","A missense mutation in TFRC, encoding transferrin receptor 1, causes combined immunodeficiency (Family A)","comparative genomic hybridization by array, genotyping by array","Homo sapiens",32,"2015-11-25","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75314/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75314/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75314/"
"E-MTAB-3998","Genotyping by array of 113 patient-derived osteosarcoma samples to investigate copy number variations of cancer-driving genes","genotyping by array, comparative genomic hybridization by array","Homo sapiens",113,"2015-11-09","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3998/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3998/"
"E-MTAB-3960","SNP genotyping by array of four head and neck cancer cell lines in pre-clonal cells and clonal sub-lines to Identify biologically relevant alterations in fewer samples","genotyping by array","Homo sapiens",7,"2015-11-01","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3960/E-MTAB-3960.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3960/"
"E-MTAB-3744","A genome-wide and family-based association study of copy number variants in suicide attempts","genotyping by array","Homo sapiens",1980,"2015-10-30","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3744/E-MTAB-3744.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3744/"
"E-GEOD-71603","The role of recent admixture in forming the contemporary West Eurasian genomic landscape","genotyping by array, comparative genomic hybridization by array","Homo sapiens",20,"2015-09-17","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71603/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71603/"
"E-GEOD-72150","Human embryos commonly form abnormal nuclei during development: a mechanism of DNA damage, embryonic aneuploidy, and developmental arrest","genotyping by array, comparative genomic hybridization by array","Homo sapiens",72,"2015-09-11","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72150/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72150/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-72150/"
"E-GEOD-64114","Patterns of somatic uniparental disomy identify driver tumor suppressor genes in colorectal cancer","genotyping by array, comparative genomic hybridization by array, methylation profiling by array","Homo sapiens",148,"2015-09-02","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64114/E-GEOD-64114.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64114/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64114/"
"E-GEOD-64109","Patterns of somatic uniparental disomy identify driver tumor suppressor genes in colorectal cancer [Affymetrix]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",60,"2015-09-02","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64109/E-GEOD-64109.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64109/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64109/"
"E-GEOD-55160","Epigenome signatures during gastric carcinogenesis based on next generation sequencing","genotyping by array, comparative genomic hybridization by array, methylation profiling by high throughput sequencing","Homo sapiens",6,"2015-09-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55160/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-55160/"
"E-MTAB-2772","Recurrent TCF12 mutations in anaplastic oligodendroglioma (Part III, genotyping by array)","genotyping by array","Homo sapiens",18,"2015-08-15","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2772/E-MTAB-2772.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2772/"
"E-GEOD-71979","Induced genomic rearrangements and chromothripsis by micronucleus-mediated chromosome transfer","genotyping by array","Homo sapiens",38,"2015-08-13","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71979/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71979/"
"E-GEOD-71978","Induced genomic rearrangements and chromothripsis by micronucleus-mediated chromosome transfer [CytoSNP12]","genotyping by array","Homo sapiens",34,"2015-08-13","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71978/E-GEOD-71978.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71978/"
"E-GEOD-71928","Induced genomic rearrangements and chromothripsis by micronucleus-mediated chromosome transfer [850K]","genotyping by array","Homo sapiens",4,"2015-08-13","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71928/E-GEOD-71928.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71928/"
"E-GEOD-69868","An Automated, High Platform for Induced Pluripotent Stem Cell Derivation, Characterization and Differentiation","genotyping by array, comparative genomic hybridization by array","Homo sapiens",18,"2015-08-03","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69868/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-69868/"
"E-MTAB-3729","Genetic profiling of SNPs in juvenile myelomonolytic leukemia","genotyping by array","Homo sapiens",78,"2015-07-31","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3729/E-MTAB-3729.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3729/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3729/"
"E-GEOD-71443","Affymetrix 6.0 SNP arrays interrogated to detect allele-specific DNA modification in the brain","genotyping by array, comparative genomic hybridization by array, methylation profiling by array","Homo sapiens",230,"2015-07-29","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71443/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71443/"
"E-MTAB-3458","Genotyping by array of anaplastic oligodendroglioma, part2","genotyping by array","Homo sapiens",46,"2015-07-23","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3458/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3458/"
"E-MTAB-3457","Genotyping by array of  anaplastic oligodendroglioma","genotyping by array","Homo sapiens",6,"2015-07-23","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3457/E-MTAB-3457.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3457/"
"E-GEOD-68622","whole-genome SNP-CN and DNA methylation data from cell lines originating from patients with multiple myeloma","ChIP-chip by SNP array, methylation profiling by array","Homo sapiens",9,"2015-06-30","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68622/E-GEOD-68622.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-68622/"
"E-GEOD-63891","Affymetrix SNP array data for rhabdomyosarcoma samples","genotyping by array","Homo sapiens",27,"2015-06-30","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63891/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63891/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63891/"
"E-GEOD-55520","An analysis fo genomic structural alterations in iPS cells derived from xeroderma pigmentosum patients","genotyping by array, comparative genomic hybridization by array","Homo sapiens",6,"2015-06-24","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-55520/E-GEOD-55520.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-55520/"
"E-GEOD-64573","The UBC-40 Urothelial Bladder Cancer Cell Line Index","transcription profiling by array, genotyping by array, comparative genomic hybridization by array","Homo sapiens",70,"2015-06-19","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64573/E-GEOD-64573.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64573/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64573/"
"E-GEOD-64572","The UBC-40 Urothelial Bladder Cancer Cell Line Index [copy number variation]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",50,"2015-06-19","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64572/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64572/"
"E-GEOD-40788","Characterization of novel ovarian tumor cell lines that retain the phenotype of primary tumors","transcription profiling by array, genotyping by array, comparative genomic hybridization by array","Homo sapiens",103,"2015-06-16","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40788/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40788/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-40788/"
"E-GEOD-40787","Characterization of novel ovarian tumor cell lines that retain the phenotype of primary tumors [SNP]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",41,"2015-06-16","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40787/E-GEOD-40787.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40787/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-40787/"
"E-GEOD-40786","Characterization of novel ovarian tumor cell lines that retain the phenotype of primary tumors [MIP]","genotyping by array, comparative genomic hybridization by array","Homo sapiens",25,"2015-06-16","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40786/E-GEOD-40786.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-40786/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-40786/"
"E-MTAB-2771","Recurrent TCF12 mutations in anaplastic oligodendroglioma (Part II, genotyping by array)","genotyping by array","Homo sapiens",13,"2015-06-15","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2771/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2771/"
"E-MTAB-2675","CIT-CHEF","genotyping by array","Homo sapiens",51,"2015-06-15","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2675/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2675/"
"E-GEOD-66668","Inherited and somatic defects in DDX41 in myeloid neoplasms","genotyping by array, comparative genomic hybridization by array","Homo sapiens",35,"2015-04-01","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66668/processed/","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66668/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66668/"
"E-MTAB-2626","GenomicScarsInTnbcs_AGrigoriadis","genotyping by array","Homo sapiens",126,"2015-03-31","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2626/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2626/"
"E-GEOD-56851","Increased Risk of Genetic and Epigenetic Instability in Human Embryonic Stem Cells Associated with Specific Culture Conditions","transcription profiling by array, genotyping by array, comparative genomic hybridization by array, methylation profiling by array","Homo sapiens",192,"2015-03-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-56851/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-56851/"
"E-GEOD-34982","Increased Risk of Genetic and Epigenetic Instability in Human Embryonic Stem Cells Associated with Specific Culture Conditions I","genotyping by array, transcription profiling by array, comparative genomic hybridization by array, methylation profiling by array","Homo sapiens",183,"2015-03-29","https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-34982/processed/","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-34982/"
